rank,atom_id,classification,dispatchable_atom,no_op_status,pair_index,tile_id,source_action_id,action_id,transform,mean_weighted_combined_equal_share,mean_weighted_pose_equal_share,mean_weighted_seg_equal_share,component_positive_votes,pose_toxic_votes,pose_positive_votes,seg_positive_votes,worst_pose_delta_vs_c102
29,pair126_tile086_src076_act076_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,126,86,76,76,identity,1.6575345587687834e-06,2.5052418284820662e-06,-8.477072697132827e-07,1,1,1,0,-7.147267800506046e-07
30,pair525_tile087_src043_act043_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,525,87,43,43,identity,1.6143194261397997e-06,7.666121564265171e-07,8.477072697132827e-07,2,1,1,2,-3.6001675581422805e-07
31,pair521_tile088_src030_act030_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,521,88,30,30,identity,1.545364087931849e-06,-1.845484393474901e-06,3.3908484814067497e-06,1,2,0,2,-3.5162124287191785e-06
32,pair209_tile088_src023_act023_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,209,88,23,23,identity,1.5270552946689976e-06,-1.6836409539597243e-07,1.6954193900649701e-06,2,1,1,2,-1.1902505444749513e-06
33,pair477_tile089_src025_act025_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,477,89,25,25,identity,1.4301205730021443e-06,-1.113010937414527e-06,2.543131510416671e-06,1,1,1,2,-2.8117266001843047e-06
34,pair166_tile086_src004_act004_identity,component_positive_pose_safe,False,changes_c102_action_stream_if_built,166,86,4,4,identity,1.2824578391873443e-06,2.130165108900627e-06,-8.477072697132826e-07,1,0,1,0,0.0
35,pair320_tile089_src099_act099_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,320,89,99,99,identity,1.2099553449560013e-06,-4.854688957473873e-07,1.6954242407033886e-06,2,1,1,2,-1.0868796893069868e-06
36,pair311_tile089_src099_act099_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,311,89,99,99,identity,1.1769967004010898e-06,-5.184226896638803e-07,1.6954193900649701e-06,2,1,1,2,-1.024543803688558e-06
37,pair560_tile087_src072_act072_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,560,87,72,72,identity,1.095175745397418e-06,6.713221105407766e-07,4.2385363485664135e-07,1,1,1,2,-1.0247392163021083e-06
38,pair560_tile088_src027_act027_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,560,88,27,27,identity,1.095175745397418e-06,6.713221105407766e-07,4.2385363485664135e-07,1,1,1,2,-1.0247392163021083e-06
39,pair593_tile086_src046_act046_identity,component_positive_pose_safe,False,changes_c102_action_stream_if_built,593,86,46,46,identity,9.125190107737841e-07,9.125190107737841e-07,0.0,2,0,2,0,0.0
40,pair593_tile087_src017_act017_identity,component_positive_pose_safe,False,changes_c102_action_stream_if_built,593,87,17,17,identity,9.125190107737841e-07,9.125190107737841e-07,0.0,2,0,2,0,0.0
41,pair173_tile086_src087_act087_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,173,86,87,87,identity,8.022395146603708e-07,-1.7408919957563005e-06,2.543131510416671e-06,1,1,1,2,-3.557554767532775e-06
