rank,candidate_policy_id,records_selected_count,expected_component_benefit_proxy,archive_delta_bytes_vs_c102,target_component_score_improvement_needed,no_op_status,dispatchable,source_priors
1,c102_consensus_positive_top32_proxy,22,7.186622247503413e-05,-162,0.0050364326712691865,non_noop_if_builder_changes_action_stream,False,pr75_lag_eval_pose4_top67_p6_t4;pr75_top25_ampminus1_p3_t4;pr77_action_c089_pose_fixedslice_t4;pr77_public_replay_t4
2,c102_pose_safe_positive_top48_proxy,22,7.186622247503413e-05,-162,0.0050364326712691865,non_noop_if_builder_changes_action_stream,False,pr75_lag_eval_pose4_top67_p6_t4;pr75_top25_ampminus1_p3_t4;pr77_action_c089_pose_fixedslice_t4;pr77_public_replay_t4
3,c102_consensus_positive_top64_proxy,22,7.186622247503413e-05,-153,0.005042425401847295,non_noop_if_builder_changes_action_stream,False,pr75_lag_eval_pose4_top67_p6_t4;pr75_top25_ampminus1_p3_t4;pr77_action_c089_pose_fixedslice_t4;pr77_public_replay_t4
4,c102_anchor_identity_noop_control,32,0.0,-154,0.005041759542894153,exact_noop_all_selected_records_duplicate_c102,False,
5,c102_native_pose_guard_ampfit_existing_builder,22,7.186622247503413e-05,8,0.005149628693299935,non_noop_if_builder_changes_action_stream,False,pr75_lag_eval_pose4_top67_p6_t4;pr75_top25_ampminus1_p3_t4;pr77_action_c089_pose_fixedslice_t4;pr77_public_replay_t4
6,c102_all_ampminus1_existing_builder,22,7.186622247503413e-05,10,0.0051509604112061624,non_noop_if_builder_changes_action_stream,False,pr75_lag_eval_pose4_top67_p6_t4;pr75_top25_ampminus1_p3_t4;pr77_action_c089_pose_fixedslice_t4;pr77_public_replay_t4
