rank,atom_id,classification,dispatchable_atom,pair_index,tile_id,source_action_id,action_id,transform,mean_weighted_combined_equal_share,mean_weighted_pose_equal_share,mean_weighted_seg_equal_share,component_positive_votes,pose_toxic_votes,pose_positive_votes,seg_positive_votes,worst_pose_delta_vs_c091
207,pair507_tile088_src040_act040_identity,component_positive_pose_risky,False,507,88,40,40,identity,-4.475086267758498e-06,-4.475086267758498e-06,0.0,1,1,1,0,-9.02218898438841e-06
208,pair145_tile086_src087_act087_identity,component_positive_pose_risky,False,145,86,87,87,identity,-4.6143740434870645e-06,-4.6143740434870645e-06,0.0,1,1,1,0,-9.341774608048586e-06
209,pair544_tile088_src075_act075_identity,component_positive_pose_risky,False,544,88,75,75,identity,-4.646920848774331e-06,-2.1037893383576463e-06,-2.5431315104166847e-06,1,1,1,0,-7.988755935449307e-06
210,pair495_tile089_src061_act061_identity,pose_toxic,False,495,89,61,61,identity,-4.6730279781352445e-06,-6.368452218838633e-06,1.6954242407033886e-06,0,2,0,2,-9.547879356228135e-06
211,pair177_tile086_src023_act023_identity,pose_toxic,False,177,86,23,23,identity,-4.767925507041932e-06,-5.293697559218726e-07,-4.23855575112006e-06,0,2,0,0,-8.667199361445284e-07
212,pair587_tile087_src094_act094_identity,pose_toxic,False,587,87,94,94,identity,-4.783767809924405e-06,-3.0883484198594345e-06,-1.6954193900649701e-06,0,1,0,0,-3.0883484198594345e-06
213,pair046_tile108_src084_act084_identity,pose_toxic,False,46,108,84,84,identity,-4.827375680355491e-06,-4.827375680355491e-06,0.0,0,1,0,0,-4.827375680355491e-06
214,pair046_tile108_src086_act084_amp_shift_-2,pose_toxic,False,46,108,86,84,amp_shift_-2,-4.828247995357323e-06,-4.828247995357323e-06,0.0,0,3,0,0,-4.828550029279707e-06
215,pair046_tile108_src086_act084_amp_shift_-1,pose_toxic,False,46,108,86,84,amp_shift_-1,-4.830159899622518e-06,-4.830159899622518e-06,0.0,0,1,0,0,-4.830159899622518e-06
216,pair137_tile088_src090_act090_identity,pose_toxic,False,137,88,90,90,identity,-4.9255530572471085e-06,-4.9255530572471085e-06,0.0,0,2,0,0,-4.9288843621541365e-06
217,pair046_tile108_src086_act086_identity,pose_toxic,False,46,108,86,86,identity,-5.279115928070971e-06,-4.431408658357688e-06,-8.477072697132826e-07,0,3,0,0,-4.43275127392028e-06
218,pair459_tile087_src067_act063_amp_shift_-2,pose_toxic,False,459,87,67,63,amp_shift_-2,-5.418800733449057e-06,-3.7233764927456686e-06,-1.6954242407033886e-06,0,2,0,0,-3.7241054723013675e-06
219,pair478_tile089_src086_act086_identity,component_positive_pose_risky,False,478,89,86,86,identity,-5.694502615550774e-06,-7.389926856254163e-06,1.6954242407033886e-06,1,1,1,2,-1.5959247097463483e-05
220,pair519_tile089_src044_act044_identity,pose_toxic,False,519,89,44,44,identity,-5.9128724698034935e-06,-2.522043390950363e-06,-3.3908290788531308e-06,0,5,0,0,-2.529374180029147e-06
221,pair211_tile110_src008_act008_identity,pose_toxic,False,211,110,8,8,identity,-6.279397720206858e-06,-2.888558940076904e-06,-3.3908387801299538e-06,0,1,0,0,-2.888558940076904e-06
222,pair198_tile107_src031_act031_identity,pose_toxic,False,198,107,31,31,identity,-6.285395775897337e-06,-2.8945569957673832e-06,-3.3908387801299538e-06,0,1,0,0,-2.8945569957673832e-06
223,pair577_tile086_src022_act022_identity,pose_toxic,False,577,86,22,22,identity,-6.501779172775912e-06,-7.349486442489195e-06,8.477072697132826e-07,0,2,0,2,-2.755286220177765e-05
224,pair577_tile087_src044_act044_identity,pose_toxic,False,577,87,44,44,identity,-6.501779172775912e-06,-7.349486442489195e-06,8.477072697132826e-07,0,2,0,2,-2.755286220177765e-05
225,pair482_tile088_src066_act066_identity,pose_toxic,False,482,88,66,66,identity,-6.528626151882058e-06,-5.68091403153037e-06,-8.477121203516875e-07,0,2,0,0,-2.0778897658647494e-05
226,pair482_tile089_src091_act091_identity,pose_toxic,False,482,89,91,91,identity,-6.528626151882058e-06,-5.68091403153037e-06,-8.477121203516875e-07,0,2,0,0,-2.0778897658647494e-05
227,pair517_tile113_src049_act049_identity,neutral_or_negative,False,517,113,49,49,identity,-6.600612767826949e-06,1.0287817634230508e-06,-7.62939453125e-06,0,0,1,0,0.0
228,pair517_tile113_src051_act049_amp_shift_-1,neutral_or_negative,False,517,113,51,49,amp_shift_-1,-6.616668592505916e-06,1.012725938744084e-06,-7.62939453125e-06,0,0,1,0,0.0
229,pair212_tile111_src071_act067_amp_shift_-2,pose_toxic,False,212,111,71,67,amp_shift_-2,-6.73858583313154e-06,-3.347747053001586e-06,-3.3908387801299538e-06,0,1,0,0,-3.347747053001586e-06
230,pair592_tile086_src032_act032_identity,pose_toxic,False,592,86,32,32,identity,-7.027449442881102e-06,-7.451307928376148e-06,4.2385848549504623e-07,0,2,0,2,-2.7890218129329932e-05
231,pair592_tile088_src015_act015_identity,pose_toxic,False,592,88,15,15,identity,-7.027449442881102e-06,-7.451307928376148e-06,4.2385848549504623e-07,0,2,0,2,-2.7890218129329932e-05
232,pair460_tile088_src047_act047_identity,component_positive_pose_risky,False,460,88,47,47,identity,-7.193950133798948e-06,-7.193950133798948e-06,0.0,1,1,1,0,-1.443504063462185e-05
233,pair473_tile088_src103_act103_identity,component_positive_pose_risky,False,473,88,103,103,identity,-7.630259772514189e-06,-7.630259772514189e-06,0.0,1,1,1,0,-1.527744642217477e-05
234,pair535_tile088_src104_act100_amp_shift_-2,pose_toxic,False,535,88,104,100,amp_shift_-2,-8.165011521036296e-06,-7.317304251323012e-06,-8.477072697132826e-07,0,1,0,0,-7.317304251323013e-06
235,pair522_tile088_src088_act088_identity,pose_toxic,False,522,88,88,88,identity,-9.029433875601382e-06,-9.594578522928129e-06,5.651446473267464e-07,0,2,0,2,-3.9232168763443175e-05
236,pair522_tile139_src092_act092_identity,pose_toxic,False,522,139,92,92,identity,-9.029433875601382e-06,-9.594578522928129e-06,5.651446473267464e-07,0,2,0,2,-3.9232168763443175e-05
237,pair522_tile140_src080_act080_identity,pose_toxic,False,522,140,80,80,identity,-9.029433875601382e-06,-9.594578522928129e-06,5.651446473267464e-07,0,2,0,2,-3.9232168763443175e-05
238,pair519_tile089_src042_act042_identity,pose_toxic,False,519,89,42,42,identity,-9.29904426095383e-06,-2.517366700693922e-06,-6.7816775602599075e-06,0,1,0,0,-2.517366700693922e-06
239,pair519_tile089_src044_act040_amp_shift_-2,pose_toxic,False,519,89,44,40,amp_shift_-2,-9.349299242679065e-06,-2.567621682419158e-06,-6.7816775602599075e-06,0,1,0,0,-2.567621682419158e-06
240,pair503_tile087_src081_act081_identity,component_positive_pose_risky,False,503,87,81,81,identity,-9.950977642539098e-06,-1.079868491225238e-05,8.477072697132826e-07,1,2,0,2,-2.1313165768582167e-05
241,pair501_tile087_src042_act042_identity,component_positive_pose_risky,False,501,87,42,42,identity,-1.0038697391472697e-05,-1.2581828901889354e-05,2.5431315104166576e-06,1,2,0,2,-2.4909375145467826e-05
242,pair497_tile087_src042_act042_identity,component_positive_pose_risky,False,497,87,42,42,identity,-1.0223851850988383e-05,-1.0223851850988383e-05,0.0,1,1,1,0,-2.0679362153232204e-05
243,pair335_tile089_src091_act091_identity,component_positive_pose_risky,False,335,89,91,91,identity,-1.0368057123208293e-05,-1.1215769243559988e-05,8.477121203516943e-07,1,1,1,2,-2.314212061650278e-05
244,pair052_tile088_src013_act013_identity,component_positive_pose_risky,False,52,88,13,13,identity,-1.2197934026535377e-05,-1.304564129624866e-05,8.477072697132826e-07,1,2,0,2,-2.5741688640450114e-05
245,pair590_tile086_src095_act095_identity,pose_toxic,False,590,86,95,95,identity,-1.2671453095428624e-05,-1.0128321585011953e-05,-2.543131510416671e-06,0,2,0,0,-1.862434289387954e-05
246,pair152_tile086_src007_act003_amp_shift_-2,pose_toxic,False,152,86,7,3,amp_shift_-2,-1.3125473267060192e-05,-1.2277756296070086e-05,-8.47716970990106e-07,0,2,0,0,-1.2279559148269416e-05
247,pair278_tile089_src065_act065_identity,component_positive_pose_risky,False,278,89,65,65,identity,-1.3954729938122657e-05,-1.480243720783594e-05,8.477072697132826e-07,1,1,1,2,-2.988513932485576e-05
248,pair156_tile086_src021_act021_identity,pose_toxic,False,156,86,21,21,identity,-1.4537609513839628e-05,-1.4537609513839628e-05,0.0,0,3,0,0,-1.4555409928360732e-05
249,pair565_tile087_src014_act014_identity,component_positive_pose_risky,False,565,87,14,14,identity,-1.5582236487644213e-05,-1.5582236487644213e-05,0.0,1,1,1,0,-3.118996564821889e-05
250,pair133_tile098_src017_act017_identity,component_positive_pose_risky,False,133,98,17,17,identity,-1.60583097640437e-05,-1.60583097640437e-05,0.0,1,1,1,0,-3.237762833276869e-05
251,pair599_tile086_src043_act043_identity,component_positive_pose_risky,False,599,86,43,43,identity,-1.7611210954960217e-05,-1.6763503685246935e-05,-8.477072697132826e-07,1,1,1,0,-3.47581090393256e-05
252,pair156_tile086_src019_act019_identity,pose_toxic,False,156,86,19,19,identity,-2.187383182574808e-05,-1.7635276074628032e-05,-4.238555751120046e-06,0,1,0,0,-1.7635276074628032e-05
253,pair034_tile109_src006_act006_identity,pose_toxic,False,34,109,6,6,identity,-2.3933639180197976e-05,-2.478134644991126e-05,8.477072697132826e-07,0,2,0,2,-4.283336433059091e-05
254,pair156_tile086_src021_act017_amp_shift_-2,pose_toxic,False,156,86,21,17,amp_shift_-2,-2.426159519616233e-05,-1.8327615204338894e-05,-5.933979991823436e-06,0,3,0,0,-1.833156953208829e-05
255,pair514_tile088_src025_act025_identity,pose_toxic,False,514,88,25,25,identity,-2.9540133404240513e-05,-2.8692422900768294e-05,-8.477105034722192e-07,0,2,0,0,-0.00010331758367315512
256,pair514_tile089_src088_act088_identity,pose_toxic,False,514,89,88,88,identity,-2.9540133404240513e-05,-2.8692422900768294e-05,-8.477105034722192e-07,0,2,0,0,-0.00010331758367315512
257,pair514_tile099_src061_act061_identity,pose_toxic,False,514,99,61,61,identity,-2.9540133404240513e-05,-2.8692422900768294e-05,-8.477105034722192e-07,0,2,0,0,-0.00010331758367315512
