rank,atom_id,classification,dispatchable_atom,pair_index,tile_id,source_action_id,action_id,transform,mean_weighted_combined_equal_share,mean_weighted_pose_equal_share,mean_weighted_seg_equal_share,component_positive_votes,pose_toxic_votes,pose_positive_votes,seg_positive_votes,worst_pose_delta_vs_c091
55,pair566_tile085_src056_act056_identity,component_positive_pose_safe,True,566,85,56,56,identity,4.3044671744486943e-07,4.3044671744486943e-07,0.0,2,0,2,0,0.0
56,pair126_tile086_src038_act038_identity,component_positive_pose_safe,True,126,86,38,38,identity,4.2752604108697975e-07,1.2752333108002625e-06,-8.477072697132826e-07,2,0,2,0,0.0
57,pair196_tile113_src015_act015_identity,component_positive_pose_safe,True,196,113,15,15,identity,3.4747379045433594e-07,3.4747379045433594e-07,0.0,3,0,3,0,0.0
58,pair593_tile086_src046_act046_identity,component_positive_pose_safe,True,593,86,46,46,identity,2.981286094373321e-07,2.981286094373321e-07,0.0,2,0,2,0,0.0
59,pair593_tile087_src017_act017_identity,component_positive_pose_safe,True,593,87,17,17,identity,2.981286094373321e-07,2.981286094373321e-07,0.0,2,0,2,0,0.0
60,pair459_tile087_src065_act065_identity,component_positive_pose_safe,True,459,87,65,65,identity,2.499041759405034e-07,2.499041759405034e-07,0.0,1,0,1,0,0.0
61,pair459_tile087_src067_act065_amp_shift_-1,component_positive_pose_safe,True,459,87,67,65,amp_shift_-1,2.443765292912358e-07,2.443765292912358e-07,0.0,1,0,1,0,0.0
62,pair398_tile088_src080_act080_identity,component_positive_pose_safe,True,398,88,80,80,identity,1.8785570445911025e-07,1.8785570445911025e-07,0.0,2,0,2,0,0.0
63,pair338_tile089_src085_act085_identity,component_positive_pose_safe,True,338,89,85,85,identity,-4.14735551211302e-08,8.062337145921524e-07,-8.477072697132826e-07,1,0,2,0,0.0
64,pair368_tile132_src058_act058_identity,component_positive_pose_risky,False,368,132,58,58,identity,7.207122434562848e-06,1.2731521440162232e-06,5.933970290546625e-06,2,1,1,2,-1.4742569599668608e-06
65,pair134_tile089_src071_act071_identity,component_positive_pose_risky,False,134,89,71,71,identity,7.049943889778803e-06,3.6590954083720394e-06,3.3908484814067636e-06,2,1,1,2,-2.7208989917212086e-06
66,pair106_tile083_src050_act050_identity,pose_toxic_pair,False,106,83,50,50,identity,6.678241142690105e-06,6.678241142690105e-06,0.0,2,0,2,0,0.0
67,pair166_tile086_src008_act008_identity,component_positive_pose_risky,False,166,86,8,8,identity,5.117102317194998e-06,3.4216780764916233e-06,1.695424240703375e-06,2,1,1,2,-2.9904081248031283e-07
68,pair532_tile088_src035_act035_identity,component_positive_pose_risky,False,532,88,35,35,identity,4.41865477283231e-06,1.8010872298906032e-07,4.23854604984325e-06,2,1,1,2,-5.015409466271672e-07
69,pair105_tile099_src094_act094_identity,pose_toxic_pair,False,105,99,94,94,identity,3.847091651078859e-06,2.7914561831340166e-06,1.0556354679448427e-06,8,1,7,6,-1.6596843963284473e-08
70,pair549_tile087_src014_act014_identity,component_positive_pose_risky,False,549,87,14,14,identity,3.5648948912176626e-06,1.0217633808009915e-06,2.543131510416671e-06,2,1,1,2,-1.856731057401319e-06
71,pair534_tile088_src011_act011_identity,component_positive_pose_risky,False,534,88,11,11,identity,3.4294986715561566e-06,-8.090473782870662e-07,4.238546049843223e-06,2,2,0,2,-1.4975089739654955e-06
72,pair510_tile089_src107_act107_identity,component_positive_pose_risky,False,510,89,107,107,identity,3.379059268775958e-06,-1.1782745112937184e-08,3.390842013888895e-06,2,1,1,2,-2.1700264244986582e-07
73,pair510_tile096_src029_act029_identity,component_positive_pose_risky,False,510,96,29,29,identity,3.379059268775958e-06,-1.1782745112937184e-08,3.390842013888895e-06,2,1,1,2,-2.1700264244986582e-07
74,pair510_tile109_src035_act035_identity,component_positive_pose_risky,False,510,109,35,35,identity,3.379059268775958e-06,-1.1782745112937184e-08,3.390842013888895e-06,2,1,1,2,-2.1700264244986582e-07
75,pair433_tile106_src081_act081_identity,component_positive_pose_risky,False,433,106,81,81,identity,3.2861940961009356e-06,-1.8000689247324066e-06,5.086263020833342e-06,2,2,0,2,-1.8102178983322287e-06
76,pair550_tile087_src018_act018_identity,component_positive_pose_risky,False,550,87,18,18,identity,3.102383120941356e-06,2.2546758512280733e-06,8.477072697132826e-07,1,1,1,2,-4.228031713209682e-06
77,pair499_tile089_src084_act084_identity,component_positive_pose_risky,False,499,89,84,84,identity,2.40624673297249e-06,7.108321935459248e-07,1.6954145394265652e-06,2,1,1,2,-2.2617430158049402e-07
78,pair485_tile089_src079_act079_identity,component_positive_pose_risky,False,485,89,79,79,identity,2.2429975113788545e-06,-1.1478412687510857e-06,3.3908387801299402e-06,1,1,1,2,-3.6976389495254e-06
79,pair167_tile086_src064_act064_identity,component_positive_pose_risky,False,167,86,64,64,identity,1.9157830525620363e-06,-6.273484578546349e-07,2.543131510416671e-06,2,1,1,2,-1.407902785330652e-06
80,pair427_tile088_src046_act046_identity,component_positive_pose_risky,False,427,88,46,46,identity,1.6918735003400675e-06,-2.5466725495031553e-06,4.238546049843223e-06,1,1,1,2,-1.0113876895468852e-05
81,pair209_tile088_src023_act023_identity,component_positive_pose_risky,False,209,88,23,23,identity,1.644710045228629e-06,-5.0709344836341073e-08,1.6954193900649701e-06,2,1,1,2,-1.2003316000501922e-06
82,pair126_tile086_src076_act076_identity,component_positive_pose_risky,False,126,86,76,76,identity,1.5188558970172765e-06,2.366563166730559e-06,-8.477072697132826e-07,1,1,1,0,-5.314085809488445e-07
83,pair525_tile087_src043_act043_identity,component_positive_pose_risky,False,525,87,43,43,identity,1.4862930469774845e-06,6.38585777264202e-07,8.477072697132826e-07,2,1,1,2,-3.7538024375246876e-07
84,pair521_tile088_src030_act030_identity,component_positive_pose_risky,False,521,88,30,30,identity,1.4163041482109583e-06,-1.9745443331957918e-06,3.39084848140675e-06,1,2,0,2,-3.4781995649156415e-06
85,pair320_tile089_src099_act099_identity,component_positive_pose_risky,False,320,89,99,99,identity,1.2785078425331022e-06,-4.169163981702864e-07,1.6954242407033886e-06,2,1,1,2,-1.0935035409248358e-06
86,pair477_tile089_src025_act025_identity,component_positive_pose_risky,False,477,89,25,25,identity,1.2585846190987949e-06,-1.2845468913178763e-06,2.543131510416671e-06,1,1,1,2,-2.8133909878106762e-06
87,pair311_tile089_src099_act099_identity,component_positive_pose_risky,False,311,89,99,99,identity,1.2180569240963647e-06,-4.773624659686054e-07,1.6954193900649701e-06,2,1,1,2,-1.0467487192463679e-06
88,pair546_tile082_src058_act058_identity,component_positive_pose_risky,False,546,82,58,58,identity,1.0437278300475535e-06,-3.194823070434088e-06,4.238550900481641e-06,1,1,1,2,-1.4751405960097713e-05
89,pair546_tile088_src025_act025_identity,component_positive_pose_risky,False,546,88,25,25,identity,1.0437278300475535e-06,-3.194823070434088e-06,4.238550900481641e-06,1,1,1,2,-1.4751405960097713e-05
90,pair173_tile086_src087_act087_identity,component_positive_pose_risky,False,173,86,87,87,identity,1.0177150626919e-06,-1.5254164477247712e-06,2.543131510416671e-06,1,1,1,2,-3.569162065973305e-06
91,pair560_tile087_src072_act072_identity,component_positive_pose_risky,False,560,87,72,72,identity,9.727039916826524e-07,5.488503568260111e-07,4.238536348566413e-07,1,1,1,2,-1.0329443799932732e-06
92,pair560_tile088_src027_act027_identity,component_positive_pose_risky,False,560,88,27,27,identity,9.727039916826524e-07,5.488503568260111e-07,4.238536348566413e-07,1,1,1,2,-1.0329443799932732e-06
93,pair141_tile086_src009_act009_identity,component_positive_pose_risky,False,141,86,9,9,identity,8.398869648127954e-07,-7.820304900487345e-09,8.477072697132828e-07,6,5,1,6,-3.7709988292075483e-08
94,pair067_tile088_src100_act100_identity,pose_toxic_pair,False,67,88,100,100,identity,4.15971067086051e-07,2.959102577502722e-06,-2.543131510416671e-06,1,0,1,0,0.0
95,pair545_tile088_src036_act036_identity,component_positive_pose_risky,False,545,88,36,36,identity,3.96110857293005e-07,-4.515964124202776e-07,8.477072697132826e-07,1,1,1,2,-1.8395630862850175e-06
96,pair067_tile088_src102_act100_amp_shift_-1,pose_toxic_pair,False,67,88,102,100,amp_shift_-1,3.3108858977599833e-07,2.8742201001926695e-06,-2.543131510416671e-06,1,0,1,0,0.0
97,pair535_tile088_src104_act104_identity,component_positive_pose_risky,False,535,88,104,104,identity,3.1835066864358323e-07,3.1835066864358323e-07,0.0,2,2,2,0,-9.90111393604941e-07
98,pair067_tile088_src102_act102_identity,pose_toxic_pair,False,67,88,102,102,identity,3.1587675271604117e-07,2.0113009934194298e-06,-1.6954242407033888e-06,3,0,3,0,0.0
99,pair493_tile091_src047_act047_identity,component_positive_pose_risky,False,493,91,47,47,identity,2.7761059321084375e-07,-2.265520917205841e-06,2.5431315104166847e-06,1,1,1,2,-6.730800095638761e-06
100,pair462_tile088_src016_act016_identity,component_positive_pose_risky,False,462,88,16,16,identity,2.6095900727812557e-07,-5.86748262435157e-07,8.477072697132826e-07,1,1,1,2,-1.3677175161973655e-06
101,pair076_tile119_src094_act094_identity,component_positive_pose_risky,False,76,119,94,94,identity,2.400429108150357e-07,-1.455381329888353e-06,1.6954242407033886e-06,1,1,1,2,-3.2732261131107458e-06
102,pair242_tile088_src026_act026_identity,component_positive_pose_risky,False,242,88,26,26,identity,1.56946138072221e-07,-2.3861853723444366e-06,2.5431315104166576e-06,1,2,0,2,-4.352365018083749e-06
103,pair211_tile110_src010_act010_identity,component_positive_pose_risky,False,211,110,10,10,identity,9.029529663629372e-08,9.029529663629372e-08,0.0,2,4,2,0,-5.350584758436681e-07
104,pair197_tile090_src093_act093_identity,pose_toxic_pair,False,197,90,93,93,identity,6.821988658404303e-08,-7.794873831292395e-07,8.477072697132826e-07,3,3,0,3,-8.248115990809276e-07
105,pair248_tile096_src104_act104_identity,component_positive_pose_risky,False,248,96,104,104,identity,5.1928617182691694e-08,-2.491202893233966e-06,2.5431315104166576e-06,1,2,0,2,-3.7733092346446516e-06
106,pair049_tile090_src079_act077_amp_shift_-1,neutral_or_negative,False,49,90,79,77,amp_shift_-1,-3.779505322969631e-08,8.099219177604097e-07,-8.47716970990106e-07,0,0,1,0,0.0
107,pair554_tile088_src039_act039_identity,component_positive_pose_risky,False,554,88,39,39,identity,-1.2269651901144286e-07,-1.2269651901144286e-07,0.0,1,1,1,0,-5.24439785675952e-07
108,pair470_tile088_src068_act068_identity,component_positive_pose_risky,False,470,88,68,68,identity,-1.4789563225799875e-07,-1.4789563225799875e-07,0.0,1,1,1,0,-3.1172238362418313e-07
109,pair166_tile086_src004_act004_identity,neutral_or_negative,False,166,86,4,4,identity,-1.5329001345256712e-07,6.944172562607155e-07,-8.477072697132826e-07,0,0,1,0,0.0
110,pair036_tile109_src093_act091_amp_shift_-1,pose_toxic,False,36,109,93,91,amp_shift_-1,-1.6400645006292135e-07,-1.011713719776204e-06,8.477072697132826e-07,0,1,0,1,-1.011713719776204e-06
111,pair136_tile086_src088_act088_identity,pose_toxic_pair,False,136,86,88,88,identity,-1.753190781210391e-07,-1.753190781210391e-07,0.0,1,1,1,0,-8.589467134937701e-07
112,pair166_tile086_src006_act004_amp_shift_-1,neutral_or_negative,False,166,86,6,4,amp_shift_-1,-2.0673630920118257e-07,6.409709605121e-07,-8.477072697132826e-07,0,0,1,0,0.0
113,pair178_tile095_src099_act099_identity,neutral_or_negative,False,178,95,99,99,identity,-2.2697573029643989e-07,6.207315394168427e-07,-8.477072697132826e-07,0,0,1,0,0.0
114,pair178_tile095_src101_act099_amp_shift_-1,neutral_or_negative,False,178,95,101,99,amp_shift_-1,-2.461731395017564e-07,6.015341302115262e-07,-8.477072697132826e-07,0,0,1,0,0.0
115,pair488_tile089_src043_act043_identity,component_positive_pose_risky,False,488,89,43,43,identity,-3.721953600700527e-07,-3.721953600700527e-07,0.0,1,1,1,0,-8.133392395153654e-07
116,pair522_tile140_src029_act027_amp_shift_-1,pose_toxic,False,522,140,29,27,amp_shift_-1,-4.0375191957210725e-07,-4.0375191957210725e-07,0.0,0,1,0,0,-4.0375191957210725e-07
117,pair154_tile086_src090_act090_identity,neutral_or_negative,False,154,86,90,90,identity,-4.2295057819795503e-07,4.247566915153275e-07,-8.477072697132826e-07,0,0,4,0,0.0
118,pair177_tile086_src015_act015_identity,pose_toxic,False,177,86,15,15,identity,-5.306295161167893e-07,-5.306295161167893e-07,0.0,0,3,0,0,-5.346467373615598e-07
119,pair457_tile088_src039_act039_identity,component_positive_pose_risky,False,457,88,39,39,identity,-5.442462399292277e-07,-1.3919632109193337e-06,8.47716970990106e-07,1,1,1,2,-2.8898510146428112e-06
120,pair167_tile086_src002_act002_identity,neutral_or_negative,False,167,86,2,2,identity,-5.464920916888098e-07,3.012200286628778e-07,-8.477121203516875e-07,0,0,6,0,0.0
121,pair196_tile113_src013_act013_identity,neutral_or_negative,False,196,113,13,13,identity,-6.50207616861761e-07,1.974996528515216e-07,-8.477072697132826e-07,0,0,1,0,0.0
122,pair196_tile113_src015_act013_amp_shift_-2,neutral_or_negative,False,196,113,15,13,amp_shift_-2,-6.616946626346109e-07,1.8601260707867164e-07,-8.477072697132826e-07,0,0,3,0,0.0
123,pair196_tile113_src015_act013_amp_shift_-1,neutral_or_negative,False,196,113,15,13,amp_shift_-1,-6.86871498710464e-07,1.6083577100281857e-07,-8.477072697132826e-07,0,0,1,0,0.0
124,pair562_tile086_src093_act093_identity,component_positive_pose_risky,False,562,86,93,93,identity,-6.966702924623884e-07,-4.0875187738691656e-06,3.390848481406777e-06,1,2,0,2,-6.806039114430332e-06
125,pair598_tile083_src016_act016_identity,neutral_or_negative,False,598,83,16,16,identity,-7.123992838245283e-07,1.3531283652717274e-07,-8.477121203517011e-07,0,0,2,0,0.0
126,pair598_tile086_src032_act032_identity,neutral_or_negative,False,598,86,32,32,identity,-7.123992838245283e-07,1.3531283652717274e-07,-8.477121203517011e-07,0,0,2,0,0.0
127,pair212_tile111_src071_act071_identity,pose_toxic,False,212,111,71,71,identity,-7.158687684124017e-07,-7.158687684124017e-07,0.0,0,5,0,0,-7.221862386745109e-07
128,pair581_tile088_src083_act083_identity,pose_toxic,False,581,88,83,83,identity,-7.722882501552617e-07,-7.722882501552617e-07,0.0,0,2,0,0,-7.743479636799557e-07
129,pair126_tile086_src038_act036_amp_shift_-1,neutral_or_negative,False,126,86,38,36,amp_shift_-1,-7.93656089249624e-07,9.017584501769412e-07,-1.6954145394265652e-06,0,0,1,0,0.0
130,pair226_tile088_src002_act002_identity,component_positive_pose_risky,False,226,88,2,2,identity,-7.941851474194147e-07,-7.941851474194147e-07,0.0,1,1,1,0,-1.6106261015465675e-06
131,pair210_tile111_src074_act074_identity,component_positive_pose_risky,False,210,111,74,74,identity,-8.34906923665679e-07,-8.34906923665679e-07,0.0,1,1,1,0,-2.110016155077776e-06
132,pair597_tile086_src092_act092_identity,component_positive_pose_risky,False,597,86,92,92,identity,-8.575836417002725e-07,-8.575836417002725e-07,0.0,1,1,1,0,-3.450766839878456e-06
133,pair597_tile099_src010_act010_identity,component_positive_pose_risky,False,597,99,10,10,identity,-8.575836417002725e-07,-8.575836417002725e-07,0.0,1,1,1,0,-3.450766839878456e-06
134,pair502_tile089_src102_act102_identity,component_positive_pose_risky,False,502,89,102,102,identity,-8.862462885323317e-07,-8.862462885323317e-07,0.0,1,1,1,0,-1.9153940993668536e-06
135,pair151_tile112_src104_act104_identity,pose_toxic,False,151,112,104,104,identity,-1.013704115214212e-06,-1.659968455009294e-07,-8.477072697132826e-07,0,3,0,0,-1.7558630216231452e-07
136,pair343_tile089_src022_act022_identity,component_positive_pose_risky,False,343,89,22,22,identity,-1.017871710146724e-06,-1.017871710146724e-06,0.0,1,1,1,0,-2.110906139413949e-06
137,pair464_tile088_src093_act093_identity,component_positive_pose_risky,False,464,88,93,93,identity,-1.0232156917165323e-06,-1.0232156917165323e-06,0.0,1,1,1,0,-2.0759901465140157e-06
138,pair531_tile088_src006_act006_identity,component_positive_pose_risky,False,531,88,6,6,identity,-1.0256716437620213e-06,-1.7795467277191524e-07,-8.47716970990106e-07,1,1,1,0,-2.175189294202443e-06
139,pair581_tile088_src083_act081_amp_shift_-1,pose_toxic,False,581,88,83,81,amp_shift_-1,-1.0611643384840024e-06,-1.9088813094741084e-06,8.47716970990106e-07,0,1,0,1,-1.9088813094741084e-06
140,pair540_tile084_src058_act058_identity,pose_toxic,False,540,84,58,58,identity,-1.0935019896147199e-06,-6.696483547580786e-07,-4.238536348566413e-07,0,1,1,0,-3.3655814735748216e-06
141,pair540_tile088_src023_act023_identity,pose_toxic,False,540,88,23,23,identity,-1.0935019896147199e-06,-6.696483547580786e-07,-4.238536348566413e-07,0,1,1,0,-3.3655814735748216e-06
142,pair089_tile084_src007_act007_identity,pose_toxic,False,89,84,7,7,identity,-1.1116763545479516e-06,-2.6396423419625044e-07,-8.477121203517012e-07,0,6,0,0,-2.6608284997158726e-07
143,pair234_tile111_src057_act057_identity,pose_toxic,False,234,111,57,57,identity,-1.129628888674571e-06,-1.977345859664677e-06,8.47716970990106e-07,0,1,0,1,-1.977345859664677e-06
144,pair198_tile107_src033_act033_identity,pose_toxic,False,198,107,33,33,identity,-1.1486907712340195e-06,-1.1486907712340195e-06,0.0,0,6,0,0,-1.1811465885814979e-06
145,pair416_tile088_src077_act075_amp_shift_-1,pose_toxic,False,416,88,77,75,amp_shift_-1,-1.199250482275668e-06,-3.515432125623854e-07,-8.477072697132826e-07,0,1,0,0,-3.515432125623854e-07
146,pair551_tile088_src086_act086_identity,component_positive_pose_risky,False,551,88,86,86,identity,-1.2394416623000499e-06,-1.767259396272471e-06,5.278177339724214e-07,7,1,7,6,-9.945830159528712e-06
147,pair152_tile086_src007_act007_identity,pose_toxic,False,152,86,7,7,identity,-1.2860621411518307e-06,-2.1337694108651133e-06,8.477072697132826e-07,0,2,0,2,-2.1428682884832624e-06
148,pair119_tile086_src042_act042_identity,neutral_or_negative,False,119,86,42,42,identity,-1.343557782880692e-06,1.1995737275359792e-06,-2.543131510416671e-06,0,0,1,0,0.0
149,pair109_tile086_src092_act092_identity,component_positive_pose_risky,False,109,86,92,92,identity,-1.3541536988301804e-06,-1.3541536988301804e-06,0.0,1,1,1,0,-2.7932254273960614e-06
150,pair197_tile090_src093_act089_amp_shift_-2,pose_toxic_pair,False,197,90,93,89,amp_shift_-2,-1.4034342987159814e-06,2.919899419874072e-07,-1.6954242407033886e-06,0,0,2,0,0.0
151,pair227_tile109_src023_act023_identity,neutral_or_negative,False,227,109,23,23,identity,-1.4878655569794358e-06,2.0754898244712936e-07,-1.6954145394265652e-06,0,0,4,0,0.0
152,pair542_tile084_src099_act099_identity,pose_toxic,False,542,84,99,99,identity,-1.5255649220146866e-06,-1.949420982190537e-06,4.2385606017585054e-07,0,2,0,2,-9.51671814193632e-06
153,pair542_tile088_src037_act037_identity,pose_toxic,False,542,88,37,37,identity,-1.5255649220146866e-06,-1.949420982190537e-06,4.2385606017585054e-07,0,2,0,2,-9.51671814193632e-06
154,pair542_tile098_src081_act081_identity,pose_toxic,False,542,98,81,81,identity,-1.5255649220146866e-06,-1.949420982190537e-06,4.2385606017585054e-07,0,2,0,2,-9.51671814193632e-06
155,pair542_tile099_src016_act016_identity,pose_toxic,False,542,99,16,16,identity,-1.5255649220146866e-06,-1.949420982190537e-06,4.2385606017585054e-07,0,2,0,2,-9.51671814193632e-06
156,pair515_tile088_src091_act091_identity,component_positive_pose_risky,False,515,88,91,91,identity,-1.5532005341160887e-06,-1.5532005341160887e-06,0.0,1,1,1,0,-3.162352306751966e-06
157,pair449_tile092_src082_act082_identity,component_positive_pose_risky,False,449,92,82,82,identity,-1.5690097843296456e-06,-6.666082806334073e-07,-9.024015036962382e-07,2,2,2,0,-3.314359402071359e-06
158,pair116_tile086_src052_act052_identity,component_positive_pose_risky,False,116,86,52,52,identity,-1.6300674162778448e-06,-6.716330437111187e-06,5.086263020833342e-06,1,2,0,2,-1.2134820656740483e-05
159,pair151_tile112_src102_act102_identity,neutral_or_negative,False,151,112,102,102,identity,-1.7739552930897141e-06,7.691762173269435e-07,-2.5431315104166576e-06,0,0,1,0,0.0
160,pair104_tile083_src015_act015_identity,pose_toxic,False,104,83,15,15,identity,-1.7912873587643712e-06,-9.435800890510886e-07,-8.477072697132826e-07,0,1,0,0,-9.435800890510886e-07
161,pair104_tile083_src017_act015_amp_shift_-1,pose_toxic,False,104,83,17,15,amp_shift_-1,-1.8186966337730353e-06,-9.709893640597527e-07,-8.477072697132826e-07,0,1,0,0,-9.709893640597527e-07
162,pair585_tile086_src047_act047_identity,pose_toxic,False,585,86,47,47,identity,-1.8371951422684952e-06,-1.8371951422684952e-06,0.0,0,2,0,0,-7.052833286585724e-06
163,pair585_tile087_src002_act002_identity,pose_toxic,False,585,87,2,2,identity,-1.8371951422684952e-06,-1.8371951422684952e-06,0.0,0,2,0,0,-7.052833286585724e-06
164,pair106_tile083_src064_act064_identity,pose_toxic_pair,False,106,83,64,64,identity,-1.8585357185674592e-06,-1.8585357185674592e-06,0.0,0,5,0,0,-1.9055883219489e-06
165,pair115_tile086_src094_act094_identity,component_positive_pose_risky,False,115,86,94,94,identity,-1.886003257497274e-06,-1.886003257497274e-06,0.0,1,1,1,0,-3.920786042374937e-06
166,pair480_tile089_src018_act018_identity,component_positive_pose_risky,False,480,89,18,18,identity,-1.9176358271905525e-06,-1.9176358271905525e-06,0.0,1,1,1,0,-3.858384325814206e-06
167,pair105_tile099_src092_act092_identity,pose_toxic_pair,False,105,99,92,92,identity,-1.94442102033564e-06,-2.489967796322516e-07,-1.6954242407033886e-06,0,1,0,0,-2.489967796322516e-07
168,pair451_tile100_src009_act007_amp_shift_-1,neutral_or_negative,False,451,100,9,7,amp_shift_-1,-2.0310853787147264e-06,1.3597534014152273e-06,-3.3908387801299538e-06,0,0,1,0,0.0
169,pair151_tile112_src104_act100_amp_shift_-2,neutral_or_negative,False,151,112,104,100,amp_shift_-2,-2.0378845172251596e-06,1.3529542629047804e-06,-3.3908387801299402e-06,0,0,3,0,0.0
170,pair105_tile099_src094_act092_amp_shift_-1,pose_toxic_pair,False,105,99,94,92,amp_shift_-1,-2.0411018754742867e-06,-3.4567763477089813e-07,-1.6954242407033886e-06,0,1,0,0,-3.4567763477089813e-07
171,pair011_tile088_src058_act058_identity,component_positive_pose_risky,False,11,88,58,58,identity,-2.084110146362775e-06,-8.018080436909387e-06,5.933970290546611e-06,1,2,0,2,-1.0265116094508919e-05
172,pair071_tile110_src056_act056_identity,pose_toxic,False,71,110,56,56,identity,-2.1178089404409663e-06,-2.1178089404409663e-06,0.0,0,1,0,0,-2.1178089404409663e-06
173,pair154_tile086_src090_act088_amp_shift_-1,neutral_or_negative,False,154,86,90,88,amp_shift_-1,-2.1467190844702552e-06,3.9641242594641595e-07,-2.543131510416671e-06,0,0,1,0,0.0
174,pair227_tile109_src023_act021_amp_shift_-1,pose_toxic,False,227,109,23,21,amp_shift_-1,-2.1792344687086366e-06,-4.838199292820714e-07,-1.6954145394265652e-06,0,1,0,0,-4.838199292820714e-07
175,pair089_tile084_src005_act005_identity,pose_toxic,False,89,84,5,5,identity,-2.3642430837440565e-06,-1.5165309633923554e-06,-8.477121203517011e-07,0,1,0,0,-1.5165309633923554e-06
176,pair089_tile084_src007_act005_amp_shift_-1,pose_toxic,False,89,84,7,5,amp_shift_-1,-2.368815248786422e-06,-1.521103128434721e-06,-8.477121203517011e-07,0,1,0,0,-1.521103128434721e-06
