row_type,atom_id,name,stream,bytes,byte_delta,sha256,rate_score_cost,rate_score_delta,known_posenet_delta,known_segnet_delta,known_score_delta,benefit_score_estimate,benefit_per_byte_estimate,break_even_bytes_at_rate_only,byte_savings_estimate,codec,candidate_index,candidate_archive_path,candidate_archive_sha256,source_path,source_sha256,source_json_pointer
packed_stream,packed_stream:renderer.bin,renderer.bin,,51682,,8b680b07d37efcc1a8f004a5204077a3b9564942751ac58665a3c6598d1e2cbe,0.034412922415,,,,,,,,0,brotli_qzs3,1,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_all_fp4_0.1/archive.zip,623e764ae1feeb11aba31d3be8c825ecf4e74948c8a5f5bb756ac92e8f91905a,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_all_fp4_0.1/archive.zip,623e764ae1feeb11aba31d3be8c825ecf4e74948c8a5f5bb756ac92e8f91905a,
packed_stream,packed_stream:optimized_poses.qp1,optimized_poses.qp1,,677,,844761cd854429c51558f34120a85a5984dd53b397df8aa5593cd02dda903bab,0.000450786511,,,,,,,,0,public_qp1_brotli,1,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_all_fp4_0.1/archive.zip,623e764ae1feeb11aba31d3be8c825ecf4e74948c8a5f5bb756ac92e8f91905a,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_all_fp4_0.1/archive.zip,623e764ae1feeb11aba31d3be8c825ecf4e74948c8a5f5bb756ac92e8f91905a,
packed_stream,packed_stream:seg_tile_actions.bin,seg_tile_actions.bin,,126,,2c6638dafeaec5b07949e896acecf44da44195e14d8d0500c15761e7fa2ab047,8.3898228e-05,,,,,,,,0,brotli_seg_tile_actions_delta_varint_v1,1,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_all_fp4_0.1/archive.zip,623e764ae1feeb11aba31d3be8c825ecf4e74948c8a5f5bb756ac92e8f91905a,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_all_fp4_0.1/archive.zip,623e764ae1feeb11aba31d3be8c825ecf4e74948c8a5f5bb756ac92e8f91905a,
payload_overhead,payload_internal_overhead,payload_internal_overhead,,12,,,7.990307e-06,,,,,,,,,,1,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_all_fp4_0.1/archive.zip,623e764ae1feeb11aba31d3be8c825ecf4e74948c8a5f5bb756ac92e8f91905a,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_all_fp4_0.1/archive.zip,623e764ae1feeb11aba31d3be8c825ecf4e74948c8a5f5bb756ac92e8f91905a,
zip_member,zip_member:p,p,,271969,,,0.181092993622,,,,,,,,,,1,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_all_fp4_0.1/archive.zip,623e764ae1feeb11aba31d3be8c825ecf4e74948c8a5f5bb756ac92e8f91905a,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_all_fp4_0.1/archive.zip,623e764ae1feeb11aba31d3be8c825ecf4e74948c8a5f5bb756ac92e8f91905a,
zip_overhead,zip_overhead,zip_overhead,,100,,,6.6585895e-05,,,,,,,,,,1,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_all_fp4_0.1/archive.zip,623e764ae1feeb11aba31d3be8c825ecf4e74948c8a5f5bb756ac92e8f91905a,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_all_fp4_0.1/archive.zip,623e764ae1feeb11aba31d3be8c825ecf4e74948c8a5f5bb756ac92e8f91905a,
archive,archive,archive.zip,,273951,,9cf86ac92f3d7a97190a0abbb86b7d65277e3333b6f168ff547cd934c38c7ce9,0.182412726067,,,,,,,,,,2,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_shared_trunk_0.1/archive.zip,9cf86ac92f3d7a97190a0abbb86b7d65277e3333b6f168ff547cd934c38c7ce9,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_shared_trunk_0.1/archive.zip,9cf86ac92f3d7a97190a0abbb86b7d65277e3333b6f168ff547cd934c38c7ce9,
packed_stream,packed_stream:masks.mkv,masks.mkv,,219472,,4c8783793f28bcb2ab82dc1226a2cebe751bda93ee8fc2ca48eb968e9ad012a7,0.14613739616,,,,,,,,0,brotli_av1_obu,2,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_shared_trunk_0.1/archive.zip,9cf86ac92f3d7a97190a0abbb86b7d65277e3333b6f168ff547cd934c38c7ce9,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_shared_trunk_0.1/archive.zip,9cf86ac92f3d7a97190a0abbb86b7d65277e3333b6f168ff547cd934c38c7ce9,
packed_stream,packed_stream:renderer.bin,renderer.bin,,53564,,0025830991b9702038059a459efba0d1f74a69b718292078be7e9073b4438d47,0.035666068965,,,,,,,,0,brotli_qzs3,2,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_shared_trunk_0.1/archive.zip,9cf86ac92f3d7a97190a0abbb86b7d65277e3333b6f168ff547cd934c38c7ce9,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_shared_trunk_0.1/archive.zip,9cf86ac92f3d7a97190a0abbb86b7d65277e3333b6f168ff547cd934c38c7ce9,
packed_stream,packed_stream:optimized_poses.qp1,optimized_poses.qp1,,677,,844761cd854429c51558f34120a85a5984dd53b397df8aa5593cd02dda903bab,0.000450786511,,,,,,,,0,public_qp1_brotli,2,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_shared_trunk_0.1/archive.zip,9cf86ac92f3d7a97190a0abbb86b7d65277e3333b6f168ff547cd934c38c7ce9,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_shared_trunk_0.1/archive.zip,9cf86ac92f3d7a97190a0abbb86b7d65277e3333b6f168ff547cd934c38c7ce9,
packed_stream,packed_stream:seg_tile_actions.bin,seg_tile_actions.bin,,126,,6a8a826e0dde2c424d084df91be49a9415afab39c5c0eb78addb8f4ec6a151c1,8.3898228e-05,,,,,,,,0,brotli_seg_tile_actions_delta_varint_v1,2,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_shared_trunk_0.1/archive.zip,9cf86ac92f3d7a97190a0abbb86b7d65277e3333b6f168ff547cd934c38c7ce9,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_shared_trunk_0.1/archive.zip,9cf86ac92f3d7a97190a0abbb86b7d65277e3333b6f168ff547cd934c38c7ce9,
payload_overhead,payload_internal_overhead,payload_internal_overhead,,12,,,7.990307e-06,,,,,,,,,,2,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_shared_trunk_0.1/archive.zip,9cf86ac92f3d7a97190a0abbb86b7d65277e3333b6f168ff547cd934c38c7ce9,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_shared_trunk_0.1/archive.zip,9cf86ac92f3d7a97190a0abbb86b7d65277e3333b6f168ff547cd934c38c7ce9,
zip_member,zip_member:p,p,,273851,,,0.182346140171,,,,,,,,,,2,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_shared_trunk_0.1/archive.zip,9cf86ac92f3d7a97190a0abbb86b7d65277e3333b6f168ff547cd934c38c7ce9,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_shared_trunk_0.1/archive.zip,9cf86ac92f3d7a97190a0abbb86b7d65277e3333b6f168ff547cd934c38c7ce9,
zip_overhead,zip_overhead,zip_overhead,,100,,,6.6585895e-05,,,,,,,,,,2,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_shared_trunk_0.1/archive.zip,9cf86ac92f3d7a97190a0abbb86b7d65277e3333b6f168ff547cd934c38c7ce9,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_shared_trunk_0.1/archive.zip,9cf86ac92f3d7a97190a0abbb86b7d65277e3333b6f168ff547cd934c38c7ce9,
