variant,scale_w,scale_h,status,current_workflow_score,archive_bytes,rule_faithful_score
reference,448,336,reused,3.54,1901606,3.546277389901901
432x324,432,324,done,3.33,1781129,3.330344634381239
464x348,464,348,done,3.44,2139211,3.443342361041948
