row_type,archive,member,payload_format,segment,bytes,uncompressed_bytes,codec,type_guess,sha256,rate_score_contribution,best_probe_codec,best_probe_bytes,best_probe_delta
zip_member,/Users/adpena/Projects/pact/experiments/results/c067_breakthrough_candidate_matrix_20260502T1030Z/line_search_source_c067_fixedslice/archive.zip,p,,,276114,276114,stored,json_like,1f0aaaa9d06967552df6f22d39905a48349239dee4731b093067951a20adc2af,0.183904915981,input_bytes,276114,0
payload_segment,/Users/adpena/Projects/pact/experiments/results/c067_breakthrough_candidate_matrix_20260502T1030Z/line_search_source_c067_fixedslice/archive.zip,p,public_pr67_qzs3_qp1_fixed_slices,masks.mkv,219472,223385,brotli_av1_obu,brotli_av1_obu_mask_stream,d1ae0d39c848e5715b74bb0122269066a4a1ab60ba9e12f34e70fd62ac136d87,0.14613739616,input_bytes,219472,0
payload_segment,/Users/adpena/Projects/pact/experiments/results/c067_breakthrough_candidate_matrix_20260502T1030Z/line_search_source_c067_fixedslice/archive.zip,p,public_pr67_qzs3_qp1_fixed_slices,renderer.bin,55965,59288,brotli_qzs3,brotli_qzs3_renderer,2544dfe50d2631a56600cbfc7342e4a18c97f953526fc51425be0d62f97e22ad,0.037264796311,input_bytes,55965,0
payload_segment,/Users/adpena/Projects/pact/experiments/results/c067_breakthrough_candidate_matrix_20260502T1030Z/line_search_source_c067_fixedslice/archive.zip,p,public_pr67_qzs3_qp1_fixed_slices,optimized_poses.bin,677,1140,public_qp1_brotli,brotli_qp1_pose,c998610e82bb46a686a073e8a1847987de1346f86852a1c60cfa3244a1ad43c5,0.000450786511,input_bytes,677,0
zip_member,/Users/adpena/Projects/pact/reports/raw/leaderboard_intel_20260501/pr67_archive.zip,p,,,276464,276464,stored,json_like,a64523528fad2adee466f948ad29839e8581ccfa70caf934b5e4b4a6d733f76f,0.184137966614,input_bytes,276464,0
payload_segment,/Users/adpena/Projects/pact/reports/raw/leaderboard_intel_20260501/pr67_archive.zip,p,public_pr67_qzs3_qp1_fixed_slices,masks.mkv,219472,223385,brotli_av1_obu,brotli_av1_obu_mask_stream,d1ae0d39c848e5715b74bb0122269066a4a1ab60ba9e12f34e70fd62ac136d87,0.14613739616,input_bytes,219472,0
payload_segment,/Users/adpena/Projects/pact/reports/raw/leaderboard_intel_20260501/pr67_archive.zip,p,public_pr67_qzs3_qp1_fixed_slices,renderer.bin,56093,59288,brotli_qzs3,brotli_qzs3_renderer,8d8863c32a264f28f199898a689b4d49ce96ebd12831164882b6babec93cbb9b,0.037350026257,input_bytes,56093,0
payload_segment,/Users/adpena/Projects/pact/reports/raw/leaderboard_intel_20260501/pr67_archive.zip,p,public_pr67_qzs3_qp1_fixed_slices,optimized_poses.bin,899,1140,public_qp1_brotli,brotli_qp1_pose,83767bbd10ae72c3237e468351eb9c465a954e25a6af04a0e0cb84d1f7af9b51,0.000598607199,input_bytes,899,0
zip_member,/Users/adpena/Projects/pact/experiments/results/fixedslice_segment_mix_c067_pr67_20260502T1545Z/pr67mask_c067renderer_c067pose/archive.zip,p,,,276114,276114,stored,json_like,1f0aaaa9d06967552df6f22d39905a48349239dee4731b093067951a20adc2af,0.183904915981,input_bytes,276114,0
payload_segment,/Users/adpena/Projects/pact/experiments/results/fixedslice_segment_mix_c067_pr67_20260502T1545Z/pr67mask_c067renderer_c067pose/archive.zip,p,public_pr67_qzs3_qp1_fixed_slices,masks.mkv,219472,223385,brotli_av1_obu,brotli_av1_obu_mask_stream,d1ae0d39c848e5715b74bb0122269066a4a1ab60ba9e12f34e70fd62ac136d87,0.14613739616,input_bytes,219472,0
