global_epoch,stage_index,stage_name,d_seg,d_pose,rate,archive_bytes,score_S,authority_tag
25,0,stage1_v328_ce,0.016687528875966865,0.03487944147860011,0.002279155293462818,85572,2.31631996384421,[contest-CPU advisory]
100,0,stage1_v328_ce,0.006664877987156312,0.001808146599214524,0.00229742646313649,86258,0.8583908020285526,[contest-CPU advisory]
175,0,stage1_v328_ce,0.004491653454800446,0.0011432946909917519,0.002317029350716407,86994,0.6140160384993735,[contest-CPU advisory]
250,0,stage1_v328_ce,0.003860143022611737,0.0009317036411569764,0.00233159834461072,87541,0.5408290577556363,[contest-CPU advisory]
325,0,stage1_v328_ce,0.003569454615935683,0.001021989614625151,0.002333516018395712,87613,0.5163768640565647,[contest-CPU advisory]
400,0,stage1_v328_ce,0.0033833736895273127,0.0008637160538152481,0.002335806573194452,87699,0.4896688584689936,[contest-CPU advisory]
475,0,stage1_v328_ce,0.0032615068182349203,0.0009619690002485489,0.002338203665425692,87789,0.48268579182926663,[contest-CPU advisory]
550,0,stage1_v328_ce,0.003163011334836483,0.0008586970410154512,0.0023342351460650837,87640,0.4673229196264046,[contest-CPU advisory]
625,0,stage1_v328_ce,0.003068864612529675,0.0007080888224299997,0.002338017224918818,87782,0.4494849056688969,[contest-CPU advisory]
700,0,stage1_v328_ce,0.0030027431963632503,0.0007001806482245835,0.0023341019742744596,87635,0.4423036667524569,[contest-CPU advisory]
775,0,stage1_v328_ce,0.002936884571487705,0.0007136864254910809,0.002334394952213833,87646,0.43652829458994424,[contest-CPU advisory]
850,0,stage1_v328_ce,0.002882046190400918,0.0008248423292146374,0.002330639507718224,87505,0.43729143745566507,[contest-CPU advisory]
925,0,stage1_v328_ce,0.002834218346203367,0.0007481732042894389,0.002332290837921967,87567,0.42822611155064166,[contest-CPU advisory]
1000,0,stage1_v328_ce,0.002790434118360281,0.0006194005621364341,0.002333915533767585,87628,0.41609330537935063,[contest-CPU advisory]
1075,0,stage1_v328_ce,0.0027420298289507626,0.0006259104652175059,0.0023307726795088485,87510,0.4115868033140588,[contest-CPU advisory]
1150,0,stage1_v328_ce,0.002699686711033185,0.0006000842817593366,0.0023356734014038276,87694,0.4058256132421507,[contest-CPU advisory]
1225,0,stage1_v328_ce,0.002657233343149225,0.0005759181099710985,0.002334687930153207,87657,0.39997980124826354,[contest-CPU advisory]
1300,0,stage1_v328_ce,0.0026184336468577387,0.0005597626497425759,0.0023362327229244505,87715,0.3950664701891693,[contest-CPU advisory]
1375,0,stage1_v328_ce,0.002584677807365855,0.0005559813433986467,0.0023352738860319545,87679,0.39141378439026764,[contest-CPU advisory]
